,Id,Check_5,Check_3,Burnout_exh_1,Burnout_exh_2,Burnout_exh_3,Burnout_exh_4,Burnout_exh_5,Burnout_cyn_1,Burnout_cyn_2,Burnout_cyn_3,Burnout_cyn_4,Burnout_cyn_5,Burnout_eff_1,Burnout_eff_2,Burnout_eff_3,Burnout_eff_4,Burnout_eff_5,Burnout_eff_6,Burnout_eff_MEAN,Burnout_eff_1_REV,Burnout_eff_2_REV,Burnout_eff_3_REV,Burnout_eff_4_REV,Burnout_eff_5_REV,Burnout_eff_6_REV,Burnout_exh_MEAN,Burnout_cyn_MEAN,Burnout_ineff_MEAN,Work_overload,Safe_work_env,Safe_work_env_REV,Relation_supervisor_1,Relation_supervisor_2,Relation_supervisor_3,Relation_supervisor_4,Relation_supervisor_5,Relation_supervisor_6,Relation_supervisor_7,Relation_supervisor_8,Relation_supervisor_9,Relation_supervisor_10,Relation_supervisor_11,Relation_supervisor_MEAN,Relation_co_workers_IOS,Obj_supervisor_1,Obj_supervisor_2,Obj_supervisor_3,Obj_supervisor_4,Obj_supervisor_5,Obj_supervisor_6,Obj_supervisor_7,Obj_supervisor_8,Obj_supervisor_9,Obj_supervisor_7_REV,Obj_supervisor_8_REV,Obj_supervisor_9_REV,Obj_supervisor_MEAN,Obj_customer_1,Obj_customer_2,Obj_customer_3,Obj_customer_4,Obj_customer_5,Obj_customer_6,Obj_customer_7,Obj_customer_6_REV,Obj_customer_7_REV,Obj_costumer_MEAN,Bio_customer_1,Bio_customer_2,Bio_customer_3,Bio_customer_4,Bio_customer_5,Bio_customer_6,Bio_customer_7,Bio_customer_8,Bio_customer_7_REV,Bio_customer_8_REV,Bio_costumer_MEAN,Self_obj_object,Self_obj_thing,Self_obj_tool,Self_obj_number,Self_obj_machine,Self_obj_instrument,Self_obj_MEAN,Self_bio_virus,Self_bio_contagion,Self_bio_disease,Self_bio_infection,Self_bio_epidemic,Self_bio_MEAN,Sex,Age,Nationality,CLU4_1,QCL_4cl,filter_$
0,1.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,7.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,3.4,2.0,100.0,10.0,90.0,5.0,6.0,7.0,6.0,6.0,1.0,6.0,5.0,1.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,1.0,3.0,7.0,5.0,7.0,5.0,3.0,1.0,3.0,4.333333333333333,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,34.0,Italiano,1.0,1.0,Selected
1,2.0,5.0,3.0,7.0,4.0,7.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,7.0,7.0,5.0,5.0,4.0,5.0,5.5,1.0,1.0,3.0,3.0,4.0,3.0,5.6,4.8,2.5,92.0,67.0,33.0,5.0,2.0,3.0,3.0,5.0,1.0,3.0,5.0,4.0,7.0,2.0,3.6363636363636362,7.0,7.0,5.0,1.0,4.0,3.0,4.0,4.0,5.0,7.0,4.0,3.0,1.0,3.5555555555555554,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.75,3.0,3.0,4.0,3.0,3.0,3.0,3.1666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,Male,26.0,Italiana,2.0,2.0,Selected
2,3.0,5.0,3.0,6.0,7.0,6.0,5.0,6.0,1.0,5.0,4.0,3.0,3.0,4.0,7.0,7.0,6.0,7.0,3.0,5.666666666666667,4.0,1.0,1.0,2.0,1.0,5.0,6.0,3.2,2.3333333333333335,90.0,3.0,97.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.454545454545454,6.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,3.0,7.0,7.0,5.0,6.777777777777778,7.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,2.0,4.714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,Female,48.0,Italiana,1.0,1.0,Selected
3,4.0,5.0,3.0,6.0,7.0,7.0,6.0,7.0,5.0,5.0,3.0,3.0,4.0,6.0,6.0,5.0,3.0,6.0,5.0,5.166666666666667,2.0,2.0,3.0,5.0,2.0,3.0,6.6,4.0,2.8333333333333335,70.0,17.0,83.0,4.0,4.0,6.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,4.2727272727272725,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,3.0,6.0,2.0,2.5555555555555554,6.0,7.0,5.0,7.0,5.0,1.0,2.0,7.0,6.0,6.142857142857143,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.625,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Female,27.0,Italiana,2.0,2.0,Selected
4,5.0,5.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,6.0,5.0,4.0,5.0,4.0,4.833333333333333,3.0,2.0,3.0,4.0,3.0,4.0,4.2,1.4,3.1666666666666665,0.0,30.0,70.0,1.0,5.0,4.0,5.0,1.0,5.0,3.0,6.0,2.0,4.0,1.0,3.3636363636363638,6.0,5.0,4.0,6.0,3.0,6.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.555555555555555,5.0,7.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.285714285714286,2.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.125,4.0,6.0,7.0,5.0,6.0,7.0,5.833333333333333,2.0,1.0,1.0,1.0,1.0,1.2,Female,31.0,Italiana,1.0,4.0,Selected
5,6.0,5.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,2.0,6.0,5.0,4.0,3.0,4.0,4.0,6.0,2.0,3.0,4.0,5.0,4.0,4.0,3.4,4.0,60.0,10.0,90.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,7.0,3.0,3.3333333333333335,3.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,2.4285714285714284,5.0,4.0,3.0,3.0,4.0,2.0,7.0,6.0,1.0,2.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,6.0,5.0,5.0,5.0,4.8,Female,47.0,Italiana,3.0,3.0,Selected
6,7.0,5.0,3.0,2.0,7.0,5.0,7.0,5.0,3.0,7.0,7.0,3.0,1.0,4.0,7.0,6.0,5.0,7.0,4.0,5.5,4.0,1.0,2.0,3.0,1.0,4.0,5.2,4.2,2.5,100.0,3.0,97.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.090909090909091,6.0,5.0,6.0,4.0,4.0,7.0,3.0,1.0,4.0,3.0,7.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,3.0,3.0,5.0,5.0,5.857142857142857,5.0,7.0,2.0,1.0,4.0,4.0,1.0,1.0,7.0,7.0,4.625,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Female,50.0,Italiana,2.0,3.0,Selected
7,8.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,6.0,2.0,4.0,5.0,7.0,7.0,2.0,4.0,5.0,4.0,4.833333333333333,1.0,1.0,6.0,4.0,3.0,4.0,2.4,4.0,3.1666666666666665,90.0,20.0,80.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,3.909090909090909,6.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.777777777777778,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.857142857142857,6.0,5.0,6.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.625,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,4.4,Male,46.0,Italiana,3.0,3.0,Selected
8,9.0,5.0,3.0,3.0,2.0,5.0,4.0,6.0,7.0,7.0,2.0,6.0,6.0,5.0,6.0,5.0,1.0,7.0,6.0,5.0,3.0,2.0,3.0,7.0,1.0,2.0,4.0,5.6,3.0,40.0,30.0,70.0,3.0,1.0,6.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.5454545454545454,3.0,6.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,3.0,7.0,7.0,5.0,4.555555555555555,1.0,1.0,3.0,1.0,1.0,7.0,7.0,1.0,1.0,1.2857142857142858,3.0,3.0,2.0,2.0,3.0,1.0,7.0,7.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,27.0,Italiana,3.0,3.0,Selected
9,10.0,5.0,3.0,5.0,7.0,7.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,4.0,4.0,4.0,6.0,2.0,4.333333333333333,2.0,4.0,4.0,4.0,2.0,6.0,5.2,2.0,3.6666666666666665,80.0,20.0,80.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,2.0,3.090909090909091,7.0,3.0,2.0,7.0,2.0,4.0,3.0,2.0,5.0,4.0,6.0,3.0,4.0,3.7777777777777777,6.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.142857142857143,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,4.0,2.0,5.0,3.0,2.0,2.8333333333333335,1.0,1.0,1.0,1.0,1.0,1.0,Male,50.0,Italia,1.0,1.0,Selected
10,11.0,5.0,3.0,1.0,7.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,7.0,4.0,6.0,5.0,5.333333333333333,3.0,3.0,1.0,4.0,2.0,3.0,3.6,1.2,2.6666666666666665,50.0,21.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,7.0,4.0,7.0,7.0,7.0,3.0,5.0,3.0,5.0,3.0,5.0,5.444444444444445,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,1.7142857142857142,3.0,1.0,1.0,1.0,6.0,1.0,5.0,7.0,3.0,1.0,2.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.4,Female,48.0,Italiana,4.0,4.0,Selected
11,12.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,2.0,3.0,6.0,6.0,5.0,3.0,6.0,5.0,5.166666666666667,2.0,2.0,3.0,5.0,2.0,3.0,3.8,4.0,2.8333333333333335,92.0,53.0,47.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,6.0,2.0,3.6363636363636362,5.0,7.0,5.0,4.0,6.0,6.0,5.0,4.0,6.0,5.0,4.0,2.0,3.0,4.666666666666667,5.0,5.0,5.0,4.0,5.0,5.0,6.0,3.0,2.0,4.142857142857143,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.25,6.0,5.0,6.0,6.0,6.0,5.0,5.666666666666667,2.0,3.0,3.0,3.0,2.0,2.6,Female,48.0,Italiana,3.0,3.0,Selected
12,13.0,5.0,3.0,1.0,7.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,6.0,6.0,7.0,6.0,7.0,5.0,6.166666666666667,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.2,1.8333333333333333,80.0,70.0,30.0,4.0,5.0,6.0,5.0,2.0,5.0,5.0,6.0,3.0,5.0,5.0,4.636363636363637,7.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.5555555555555554,3.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,2.142857142857143,1.0,2.0,1.0,1.0,1.0,2.0,7.0,3.0,1.0,5.0,1.75,3.0,4.0,4.0,5.0,5.0,4.0,4.166666666666667,4.0,6.0,5.0,5.0,5.0,5.0,Female,45.0,Italiana,4.0,4.0,Selected
